executive_order_id	pdf_url	citation	start_page	end_page	title	signing_date	publication_date	president
14161	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02009.pdf	90 FR 8451	8451	8453	Protecting the United States From Foreign Terrorists and Other National Security and Public Safety T	2025-01-20	2025-01-30	Donald Trump
14162	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02010.pdf	90 FR 8455	8455	8457	Putting America First in International Environmental Agreements	2025-01-20	2025-01-30	Donald Trump
14163	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf	90 FR 8459	8459	8461	Realigning the United States Refugee Admissions Program	2025-01-20	2025-01-30	Donald Trump
14164	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02012.pdf	90 FR 8463	8463	8465	Restoring the Death Penalty and Protecting Public Safety	2025-01-20	2025-01-30	Donald Trump
14165	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf	90 FR 8467	8467	8469	Securing Our Borders	2025-01-20	2025-01-30	Donald Trump
14166	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02087.pdf	90 FR 8611	8611	8612	Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok	2025-01-20	2025-01-30	Donald Trump
14167	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02089.pdf	90 FR 8613	8613	8614	Clarifying the Military's Role in Protecting the Territorial Integrity of the United States	2025-01-20	2025-01-30	Donald Trump
14169	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02091.pdf	90 FR 8619	8619	8620	Reevaluating and Realigning United States Foreign Aid	2025-01-20	2025-01-30	Donald Trump
14171	https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02095.pdf	90 FR 8625	8625	8627	Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce	2025-01-20	2025-01-31	Donald Trump
14172	https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02096.pdf	90 FR 8629	8629	8631	Restoring Names That Honor American Greatness	2025-01-20	2025-01-31	Donald Trump
14173	https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02097.pdf	90 FR 8633	8633	8636	Ending Illegal Discrimination and Restoring Merit-Based Opportunity	2025-01-21	2025-01-31	Donald Trump
