cid	uid	executive_order_id	message	timestamp
1	1	14193	yay no tariffs	2025-02-05 21:14:41
2	1	14194	justin trudeau for president	2025-02-05 23:02:04
3	3	14195	This order will strengthen our borders.	2025-02-06 08:15:30
4	4	14192	Deregulation is key to prosperity.	2025-02-06 09:00:00
5	5	14184	Reinstating service members is a win.	2025-02-06 10:20:15
6	6	14186	The Iron Dome for America sounds promising.	2025-02-06 11:45:00
7	7	14187	Protecting children is our priority.	2025-02-06 12:30:00
8	8	14191	Expanding educational freedom is vital.	2025-02-06 13:15:00
9	9	14190	Ending radical indoctrination in schools is necessary.	2025-02-06 14:05:00
10	10	14183	Military excellence should be a national focus.	2025-02-06 15:30:00
11	11	14185	Restoring America's fighting force is commendable.	2025-02-06 16:00:00
21	2	14162	DOGE such wow	2025-02-06 00:00:00
69	7	14195	This order will NOT strengthen our borders.	2025-02-06 08:05:30
