executive_order_id	message	upvotes	downvotes	vote_score
13505	What a move!	7	4	3
13268	I support this order.	12	3	9
13314	justin trudeau for president	1	6	-5
14178	Disagree completely.	4	3	1
13358	This order will strengthen our borders.	4	4	0
13594	This order will NOT strengthen our borders.	3	4	-1
13222	I support this order.	7	6	1
13259	I support this order.	9	7	2
12926	This order will NOT strengthen our borders.	5	8	-3
13449	Totally agree.	4	11	-7
13277	This order will NOT strengthen our borders.	1	3	-2
12940	This order will strengthen our borders.	7	5	2
13181	This order will NOT strengthen our borders.	7	3	4
13836	What a move!	4	6	-2
14182	Unbelievable!	5	5	0
13461	This order will NOT strengthen our borders.	3	6	-3
13115	Unbelievable!	4	3	1
13487	Totally agree.	6	7	-1
13753	justin trudeau for president	4	3	1
13354	yay no tariffs	4	2	2
13674	yay no tariffs	6	4	2
