executive_order_id	pdf_url	citation	start_page	end_page	title	signing_date	publication_date	tag	president
13767	https://www.govinfo.gov/content/pkg/FR-2017-01-30/pdf/2017-02095.pdf	82 FR 8793	8793	8797	Border Security and Immigration Enforcement Improvements	2017-01-25	2017-01-30	Immigration	Donald Trump
13815	https://www.govinfo.gov/content/pkg/FR-2017-10-27/pdf/2017-23630.pdf	82 FR 50055	50055	50058	Resuming the United States Refugee Admissions Program With Enhanced Vetting Capabilities	2017-10-24	2017-10-27	Immigration	Donald Trump
13880	https://www.govinfo.gov/content/pkg/FR-2019-07-16/pdf/2019-15222.pdf	84 FR 33821	33821	33825	Collecting Information About Citizenship Status in Connection With the Decennial Census	2019-07-11	2019-07-16	Immigration	Donald Trump
13882	https://www.govinfo.gov/content/pkg/FR-2019-07-30/pdf/2019-16383.pdf	84 FR 37055	37055	37058	Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Mali	2019-07-26	2019-07-30	Immigration	Donald Trump
13888	https://www.govinfo.gov/content/pkg/FR-2019-10-01/pdf/2019-21505.pdf	84 FR 52355	52355	52356	Enhancing State and Local Involvement in Refugee Resettlement	2019-09-26	2019-10-01	Immigration	Donald Trump
13894	https://www.govinfo.gov/content/pkg/FR-2019-10-17/pdf/2019-22849.pdf	84 FR 55851	55851	55855	Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria	2019-10-14	2019-10-17	Immigration	Donald Trump
14163	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf	90 FR 8459	8459	8461	Realigning the United States Refugee Admissions Program	2025-01-20	2025-01-30	Immigration	Donald Trump
14165	https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf	90 FR 8467	8467	8469	Securing Our Borders	2025-01-20	2025-01-30	Immigration	Donald Trump
14194	https://www.govinfo.gov/content/pkg/FR-2025-02-07/pdf/2025-02407.pdf	90 FR 9117	9117	9120	Imposing Duties To Address the Situation at Our Southern Border	2025-02-01	2025-02-07	Immigration	Donald Trump
14198	https://www.govinfo.gov/content/pkg/FR-2025-02-10/pdf/2025-02479.pdf	90 FR 9185	9185	9186	Progress on the Situation at Our Southern Border	2025-02-03	2025-02-10	Immigration	Donald Trump
14218	https://www.govinfo.gov/content/pkg/FR-2025-02-25/pdf/2025-03137.pdf	90 FR 10581	10581	10582	Ending Taxpayer Subsidization of Open Borders	2025-02-19	2025-02-25	Immigration	Donald Trump
14227	https://www.govinfo.gov/content/pkg/FR-2025-03-06/pdf/2025-03729.pdf	90 FR 11371	11371	11372	Amendment to Duties To Address the Situation at Our Southern Border	2025-03-02	2025-03-06	Immigration	Donald Trump
