uid	cid	is_upvote
1	46	0
1	167	0
1	239	0
1	244	1
1	399	1
1	442	0
1	481	1
1	488	1
1	493	1
1	503	1
1	507	0
1	521	1
1	567	0
1	575	0
1	596	1
1	603	0
1	616	1
1	626	1
1	633	1
1	666	1
1	669	0
1	671	1
1	686	0
1	696	0
1	711	1
1	712	0
1	733	1
1	755	1
1	787	1
1	798	1
1	826	0
1	880	1
1	898	0
1	998	0
1	1001	0
1	1028	1
1	1036	0
1	1059	0
1	1079	1
1	1098	0
1	1104	1
1	1106	1
1	1109	0
1	1132	0
1	1138	1
1	1140	0
1	1146	1
1	1190	1
1	1208	1
1	1224	0
1	1225	1
1	1319	0
1	1364	0
1	1375	0
1	1388	1
1	1411	1
1	1444	0
1	1460	0
1	1597	1
1	1601	0
1	1605	1
1	1625	1
1	1645	0
1	1674	1
1	1699	0
1	1710	1
1	1719	1
1	1727	0
1	1828	0
1	1878	0
1	1944	1
1	1947	0
1	2003	0
1	2011	1
1	2019	0
1	2089	1
1	2097	1
1	2106	1
1	2109	1
1	2118	1
1	2122	1
1	2154	1
1	2188	0
1	2260	0
1	2263	1
1	2303	1
1	2325	0
1	2363	1
1	2389	1
1	2459	0
1	2460	0
1	2469	0
1	2482	0
1	2514	0
1	2532	1
1	2535	1
1	2539	1
1	2543	0
1	2578	1
1	2600	0
1	2625	0
1	2747	0
1	2778	1
1	2787	1
1	2796	1
1	2817	0
1	2841	1
1	2844	1
1	2851	0
1	2877	1
1	2908	1
1	2920	1
1	2923	1
1	2938	1
1	2961	1
1	2992	0
1	3012	0
1	3061	1
1	3066	0
1	3073	0
1	3138	0
1	3172	0
1	3208	0
1	3225	0
1	3235	1
1	3259	1
1	3298	0
1	3329	0
1	3355	0
1	3406	1
1	3440	0
1	3449	1
1	3464	1
1	3485	0
1	3519	0
1	3530	0
1	3544	1
1	3560	0
1	3561	0
1	3614	0
1	3617	0
1	3628	1
1	3629	1
1	3672	1
1	3741	0
1	3786	1
1	3802	0
1	3885	1
1	3911	0
1	3993	1
1	4001	1
1	4022	0
1	4028	1
1	4121	0
1	4132	0
1	4164	0
1	4207	1
1	4227	0
1	4294	1
1	4299	0
1	4341	0
1	4358	0
1	4361	0
1	4448	1
1	4475	0
1	4485	1
1	4501	1
1	4506	1
1	4509	1
1	4599	1
1	4639	1
1	4658	0
1	4671	1
1	4686	1
1	4774	1
1	4791	1
1	4800	1
1	4846	1
1	4856	1
1	4884	1
1	4926	0
1	4937	0
1	4949	0
1	4979	0
2	34	0
2	53	1
2	68	0
2	73	1
2	110	1
2	136	1
2	170	0
2	216	1
2	219	1
2	235	1
2	256	0
2	266	0
2	296	1
2	342	1
2	366	0
2	371	1
2	374	1
2	382	0
2	424	1
2	427	0
2	451	0
2	455	1
2	468	0
2	484	0
2	485	0
2	522	0
2	529	1
2	531	0
2	547	0
2	562	0
2	606	1
2	611	1
2	748	1
2	754	1
2	760	0
2	769	1
2	771	0
2	777	1
2	800	1
2	801	1
2	802	1
2	809	0
2	835	0
2	858	0
2	880	1
2	886	0
2	889	1
2	901	1
2	910	1
2	923	0
2	954	0
2	955	1
2	961	0
2	972	0
2	994	1
2	1032	0
2	1043	1
2	1058	0
2	1061	0
2	1066	1
2	1071	1
2	1072	0
2	1078	0
2	1135	1
2	1160	1
2	1170	1
2	1173	1
2	1196	1
2	1199	0
2	1225	0
2	1246	0
2	1247	1
2	1249	1
2	1363	0
2	1395	1
2	1398	1
2	1464	0
2	1469	0
2	1487	0
2	1524	1
2	1567	1
2	1583	0
2	1624	0
2	1655	1
2	1707	0
2	1709	1
2	1750	1
2	1765	1
2	1783	0
2	1830	1
2	1881	1
2	1937	1
2	1974	0
2	2003	1
2	2051	1
2	2060	0
2	2072	1
2	2083	1
2	2093	1
2	2103	1
2	2134	1
2	2169	1
2	2221	0
2	2241	1
2	2258	1
2	2266	1
2	2272	0
2	2417	0
2	2422	0
2	2425	1
2	2445	0
2	2455	1
2	2474	0
2	2491	1
2	2521	1
2	2545	1
2	2558	1
2	2617	1
2	2653	0
2	2658	1
2	2661	0
2	2675	0
2	2685	1
2	2705	0
2	2706	0
2	2716	0
2	2734	0
2	2773	0
2	2776	0
2	2799	0
2	2802	1
2	2822	0
2	2832	1
2	2847	1
2	2852	0
2	2868	0
2	2892	0
2	2902	0
2	2909	1
2	2918	0
2	3025	0
2	3035	1
2	3125	0
2	3146	1
2	3171	0
2	3181	0
2	3184	1
2	3187	1
2	3192	1
2	3209	0
2	3217	0
2	3242	0
2	3307	0
2	3320	0
2	3321	1
2	3331	0
2	3365	1
2	3366	0
2	3382	1
2	3401	0
2	3406	1
2	3454	1
2	3477	1
2	3488	0
2	3496	1
2	3584	1
2	3587	0
2	3590	0
2	3612	0
2	3632	1
2	3659	0
2	3688	1
2	3700	1
2	3711	1
2	3772	0
2	3782	1
2	3810	0
2	3830	0
2	3853	0
2	3869	1
2	3889	0
2	3905	0
2	3920	1
2	3925	0
2	3927	0
2	3953	1
2	3967	1
2	3969	1
2	3971	0
2	3977	1
2	3982	1
2	4054	0
2	4065	0
2	4096	0
2	4107	1
2	4112	1
2	4136	0
2	4149	1
2	4216	0
2	4259	0
2	4268	0
2	4277	1
2	4322	0
2	4325	0
2	4347	1
2	4417	1
2	4448	1
2	4460	1
2	4475	0
2	4477	0
2	4489	0
2	4501	1
2	4510	1
2	4548	1
2	4582	1
2	4590	1
2	4603	1
2	4624	0
2	4641	0
2	4690	0
2	4715	1
2	4746	1
2	4752	1
2	4786	0
2	4798	0
2	4800	0
2	4854	1
2	4901	0
2	4908	1
2	4922	1
2	4932	1
2	4943	0
