executive_order_id,pdf_url,citation,start_page,end_page,title,signing_date,publication_date,president
13764,https://www.govinfo.gov/content/pkg/FR-2017-01-23/pdf/2017-01623.pdf,82 FR 8115,8115,8129,"Amending the Civil Service Rules, Executive Order 13488, and Executive Order 13467 To Modernize the Executive Branch-Wide Governance Structure and Processes for Security Clearances, Suitability and Fitness for Employment, and Credentialing, and Related Matters",2017-01-17,01/23/2017,Barack Obama
13762,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01487.pdf,82 FR 7619,7619,7620,Providing an Order of Succession Within the Department of Justice,2017-01-13,01/19/2017,Barack Obama
13763,https://www.govinfo.gov/content/pkg/FR-2017-01-19/pdf/2017-01489.pdf,82 FR 7621,7621,7622,Providing an Order of Succession Within the Environmental Protection Agency,2017-01-13,01/19/2017,Barack Obama
13761,https://www.govinfo.gov/content/pkg/FR-2017-01-18/pdf/2017-01197.pdf,82 FR 5331,5331,5333,Recognizing Positive Actions by the Government of Sudan and Providing for the Revocation of Certain Sudan-Related Sanctions,2017-01-13,01/18/2017,Barack Obama
13759,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01168.pdf,82 FR 5323,5323,5324,"Designating the World Organisation for Animal Health as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities",2017-01-12,01/17/2017,Barack Obama
13760,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01169.pdf,82 FR 5325,5325,5329,Exclusions From the Federal Labor-Management Relations Program,2017-01-12,01/17/2017,Barack Obama
13758,https://www.govinfo.gov/content/pkg/FR-2017-01-17/pdf/2017-01164.pdf,82 FR 5321,5321,5322,Amending Executive Order 11016 To Update Eligibility Criteria for Award of the Purple Heart,2017-01-12,01/17/2017,Barack Obama
13757,https://www.govinfo.gov/content/pkg/FR-2017-01-03/pdf/2016-31922.pdf,82 FR 1,1,3,Taking Additional Steps to Address the National Emergency With Respect to Significant Malicious Cyber- Enabled Activities,2016-12-28,01/03/2017,Barack Obama
13755,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31792.pdf,81 FR 96329,96329,96330,Providing an Order of Succession Within the Department of Labor,2016-12-23,12/30/2016,Barack Obama
13756,https://www.govinfo.gov/content/pkg/FR-2016-12-30/pdf/2016-31875.pdf,81 FR 97099,97099,97110,Adjustments of Certain Rates of Pay,2016-12-27,12/30/2016,Barack Obama
13754,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30277.pdf,81 FR 90669,90669,90674,Northern Bering Sea Climate Resilience,2016-12-09,12/14/2016,Barack Obama
13753,https://www.govinfo.gov/content/pkg/FR-2016-12-14/pdf/2016-30272.pdf,81 FR 90667,90667,90668,Amending the Order of Succession in the Department of Homeland Security,2016-12-09,12/14/2016,Barack Obama
13752,https://www.govinfo.gov/content/pkg/FR-2016-12-13/pdf/2016-30101.pdf,81 FR 90181,90181,90182,Relating to the Implementation of the Convention on the International Recovery of Child Support and Other Forms of Family Maintenance,2016-12-08,12/13/2016,Barack Obama
13751,https://www.govinfo.gov/content/pkg/FR-2016-12-08/pdf/2016-29519.pdf,81 FR 88609,88609,88614,Safeguarding the Nation From the Impacts of Invasive Species,2016-12-05,12/08/2016,Barack Obama
13749,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29165.pdf,81 FR 87391,87391,87392,Providing for the Appointment in the Competitive Service of Certain Employees of the Foreign Service,2016-11-29,12/02/2016,Barack Obama
13750,https://www.govinfo.gov/content/pkg/FR-2016-12-02/pdf/2016-29169.pdf,81 FR 87393,87393,87394,"Providing for the Appointment of Alumni of the Fulbright U.S. Student Program, the Benjamin A. Gilman International Scholarship Program, and the Critical Language Scholarship Program to the Competitive Service",2016-11-29,12/02/2016,Barack Obama
13748,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-28203.pdf,81 FR 83619,83619,83622,Establishing a Community Solutions Council,2016-11-16,11/21/2016,Barack Obama
13747,https://www.govinfo.gov/content/pkg/FR-2016-11-09/pdf/2016-27171.pdf,81 FR 78701,78701,78706,Advancing the Global Health Security Agenda To Achieve a World Safe and Secure From Infectious Disease Threats,2016-11-04,11/09/2016,Barack Obama
13746,https://www.govinfo.gov/content/pkg/FR-2016-11-08/pdf/2016-27156.pdf,81 FR 78697,78697,78700,Advancing the Goals of the Power Africa Initiative to Expand Access to Electricity in Sub- Saharan Africa Through the Establishment of the President's Power Africa Working Group,2016-11-03,11/08/2016,Barack Obama
13745,https://www.govinfo.gov/content/pkg/FR-2016-11-03/pdf/2016-26753.pdf,81 FR 76493,76493,76493,Delegation of Function to the Director of the Office of Personnel Management,2016-10-31,11/03/2016,Barack Obama
13743,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25288.pdf,81 FR 71571,71571,71572,Charitable Fundraising,2016-10-13,10/18/2016,Barack Obama
13744,https://www.govinfo.gov/content/pkg/FR-2016-10-18/pdf/2016-25290.pdf,81 FR 71573,71573,71577,Coordinating Efforts To Prepare the Nation for Space Weather Events,2016-10-13,10/18/2016,Barack Obama
13742,https://www.govinfo.gov/content/pkg/FR-2016-10-12/pdf/2016-24847.pdf,81 FR 70593,70593,70594,Termination of Emergency With Respect to the Actions and Policies of the Government of Burma,2016-10-07,10/12/2016,Barack Obama
13741,https://www.govinfo.gov/content/pkg/FR-2016-10-04/pdf/2016-24066.pdf,81 FR 68289,68289,68292,Amending Executive Order 13467 To Establish the Roles and Responsibilities of the National Background Investigations Bureau and Related Matters,2016-09-29,10/04/2016,Barack Obama
13740,https://www.govinfo.gov/content/pkg/FR-2016-09-22/pdf/2016-22962.pdf,81 FR 65175,65175,65264,"2016 Amendments to the Manual for Courts-Martial, United States",2016-09-16,09/22/2016,Barack Obama
13739,https://www.govinfo.gov/content/pkg/FR-2016-09-16/pdf/2016-22454.pdf,81 FR 63673,63673,63674,Termination of Emergency With Respect to the Situation in or in Relation to Côte d'Ivoire,2016-09-14,09/16/2016,Barack Obama
13738,https://www.govinfo.gov/content/pkg/FR-2016-08-26/pdf/2016-20713.pdf,81 FR 58807,58807,58808,Amendment to Executive Order 13673,2016-08-23,08/26/2016,Barack Obama
13736,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19724.pdf,81 FR 54711,54711,54712,Providing an Order of Succession Within the Department of Veterans Affairs,2016-08-12,08/17/2016,Barack Obama
13737,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19725.pdf,81 FR 54713,54713,54714,Providing an Order of Succession Within the Environmental Protection Agency,2016-08-12,08/17/2016,Barack Obama
13735,https://www.govinfo.gov/content/pkg/FR-2016-08-17/pdf/2016-19723.pdf,81 FR 54709,54709,54710,Providing an Order of Succession Within the Department of the Treasury,2016-08-12,08/17/2016,Barack Obama
13734,https://www.govinfo.gov/content/pkg/FR-2016-08-08/pdf/2016-18872.pdf,81 FR 52321,52321,52322,Amending Executive Order 13675 To Expand Membership on the President's Advisory Council on Doing Business in Africa,2016-08-03,08/08/2016,Barack Obama
13733,https://www.govinfo.gov/content/pkg/FR-2016-07-27/pdf/2016-17945.pdf,81 FR 49515,49515,49516,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Facilitation and Trade Enforcement Act of 2015,2016-07-22,07/27/2016,Barack Obama
13732,https://www.govinfo.gov/content/pkg/FR-2016-07-07/pdf/2016-16295.pdf,81 FR 44485,44485,44487,United States Policy on Pre- and Post-Strike Measures To Address Civilian Casualties in U.S. Operations Involving the Use of Force,2016-07-01,07/07/2016,Barack Obama
13731,https://www.govinfo.gov/content/pkg/FR-2016-06-29/pdf/2016-15542.pdf,81 FR 42221,42221,42223,Global Entrepreneurship,2016-06-24,06/29/2016,Barack Obama
13730,https://www.govinfo.gov/content/pkg/FR-2016-05-26/pdf/2016-12579.pdf,81 FR 33331,33331,33358,"2016 Amendments to the Manual for Courts-Martial, United States",2016-05-20,05/26/2016,Barack Obama
13729,https://www.govinfo.gov/content/pkg/FR-2016-05-23/pdf/2016-12307.pdf,81 FR 32611,32611,32615,A Comprehensive Approach to Atrocity Prevention and Response,2016-05-18,05/23/2016,Barack Obama
13728,https://www.govinfo.gov/content/pkg/FR-2016-05-20/pdf/2016-12155.pdf,81 FR 32223,32223,32225,Wildland-Urban Interface Federal Risk Mitigation,2016-05-18,05/20/2016,Barack Obama
13727,https://www.govinfo.gov/content/pkg/FR-2016-05-11/pdf/2016-11300.pdf,81 FR 29465,29465,29467,Facilitation of a Presidential Transition,2016-05-06,05/11/2016,Barack Obama
13726,https://www.govinfo.gov/content/pkg/FR-2016-04-21/pdf/2016-09483.pdf,81 FR 23559,23559,23562,Blocking Property and Suspending Entry Into the United States of Persons Contributing to the Situation in Libya,2016-04-19,04/21/2016,Barack Obama
13725,https://www.govinfo.gov/content/pkg/FR-2016-04-20/pdf/2016-09346.pdf,81 FR 23417,23417,23419,Steps to Increase Competition and Better Inform Consumers and Workers to Support Continued Growth of the American Economy,2016-04-15,04/20/2016,Barack Obama
13724,https://www.govinfo.gov/content/pkg/FR-2016-04-13/pdf/2016-08713.pdf,81 FR 22021,22021,22021,Amending Executive Order 12137,2016-04-08,04/13/2016,Barack Obama
13723,https://www.govinfo.gov/content/pkg/FR-2016-04-01/pdf/2016-07703.pdf,81 FR 19017,19017,19018,Establishing the Inherent Resolve Campaign Medal,2016-03-30,04/01/2016,Barack Obama
13722,https://www.govinfo.gov/content/pkg/FR-2016-03-18/pdf/2016-06355.pdf,81 FR 14943,14943,14946,"Blocking Property of the Government of North Korea and the Workers' Party of Korea, and Prohibiting Certain Transactions With Respect to North Korea",2016-03-15,03/18/2016,Barack Obama
13721,https://www.govinfo.gov/content/pkg/FR-2016-03-17/pdf/2016-06250.pdf,81 FR 14685,14685,14688,Developing an Integrated Global Engagement Center To Support Government-wide Counterterrorism Communications Activities Directed Abroad and Revoking Executive Order 13584,2016-03-14,03/17/2016,Barack Obama
13720,https://www.govinfo.gov/content/pkg/FR-2016-03-02/pdf/2016-04770.pdf,81 FR 11089,11089,11090,Delegation of Certain Authorities and Assignment of Certain Functions Under the Trade Preferences Extension Act of 2015,2016-02-26,03/02/2016,Barack Obama
13718,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03038.pdf,81 FR 7441,7441,7444,Commission on Enhancing National Cybersecurity,2016-02-09,02/12/2016,Barack Obama
13719,https://www.govinfo.gov/content/pkg/FR-2016-02-12/pdf/2016-03141.pdf,81 FR 7687,7687,7689,Establishment of the Federal Privacy Council,2016-02-09,02/12/2016,Barack Obama
13717,https://www.govinfo.gov/content/pkg/FR-2016-02-05/pdf/2016-02475.pdf,81 FR 6407,6407,6410,Establishing a Federal Earthquake Risk Management Standard,2016-02-02,02/05/2016,Barack Obama
13716,https://www.govinfo.gov/content/pkg/FR-2016-01-21/pdf/2016-01325.pdf,81 FR 3693,3693,3698,"Revocation of Executive Orders 13574, 13590, 13622, and 13645 With Respect to Iran, Amendment of Executive Order 13628 With Respect to Iran, and Provision of Implementation Authorities for Aspects of Certain Statutory Sanctions Outside the Scope of U.S. Commitments Under the Joint Comprehensive Plan of Action of July 14, 2015",2016-01-16,01/21/2016,Barack Obama
