uid,cid,is_upvote
77,835,0
198,4621,1
169,1443,1
82,3318,0
87,3780,1
175,2994,1
189,1973,0
171,3324,1
51,1556,1
222,3142,1
98,4146,0
26,2597,0
127,271,0
1,3355,0
59,114,0
220,1923,0
89,1559,1
136,1124,0
115,2845,0
15,1149,0
250,3908,1
129,3085,1
40,4105,0
154,1911,1
242,2626,0
185,4659,1
148,4445,1
100,866,0
86,3580,1
34,1907,0
19,3573,1
173,4823,0
132,1415,0
127,3216,0
219,165,0
204,4508,0
20,961,1
142,417,1
8,1755,0
25,4064,0
165,3572,0
101,4578,1
65,4354,0
190,4830,1
41,4502,0
155,1992,1
133,4658,1
184,571,0
213,3580,0
146,3286,0
69,4215,0
15,2010,0
5,1138,1
240,1103,1
110,761,0
188,614,0
173,3350,0
26,2697,0
209,3693,0
202,4788,0
34,852,0
146,917,0
58,1063,1
11,250,0
150,4124,1
137,4909,1
116,4868,0
187,4725,1
77,249,1
236,4195,0
31,569,1
236,4640,0
240,3848,0
248,3685,0
101,2584,0
39,3349,0
127,394,1
164,3874,0
157,2290,0
171,3180,0
174,3785,0
153,2265,1
13,537,0
112,3175,0
162,1348,0
98,2161,0
88,674,0
196,3776,0
137,3079,0
10,3211,1
250,4222,0
123,2169,1
186,3285,1
59,107,1
108,742,1
174,3063,1
160,739,0
19,2270,0
38,2106,0
200,113,0
209,1453,0
66,167,0
208,2660,0
231,4426,0
198,3515,1
236,3134,0
74,1393,1
110,3517,1
9,3909,1
238,4077,0
231,3919,0
165,2170,1
39,4970,0
46,556,1
72,4757,0
137,2945,0
71,3445,1
136,3038,0
68,4520,1
56,4525,1
166,1198,1
4,2861,1
134,1408,1
36,1712,0
65,1403,0
189,4724,0
238,3618,1
4,3958,0
123,950,1
1,4475,0
228,4950,0
73,3317,0
43,3171,0
8,4530,1
199,1296,0
27,1487,1
126,912,0
90,1481,0
214,4233,0
69,3878,0
123,4529,0
224,422,0
136,251,1
90,1801,0
145,4987,0
134,4753,1
56,3183,1
37,2812,1
34,3560,1
237,1186,0
122,2508,1
123,4370,1
121,4078,1
67,1216,1
71,1270,0
143,4257,1
42,1085,0
195,1652,1
101,236,0
84,242,1
239,4207,0
229,3680,0
206,1453,0
227,3028,1
81,1367,1
24,1919,0
134,4923,0
212,4196,0
188,3638,1
222,3777,1
203,3872,0
234,1082,0
218,239,0
58,2719,0
175,3194,0
112,2347,0
201,4053,0
61,4681,0
211,1732,1
228,1067,1
26,4513,1
225,847,1
30,1093,0
227,4179,0
106,1587,0
180,3546,1
111,3471,0
12,3184,0
167,4692,1
97,60,0
195,263,0
16,4870,0
101,1905,0
134,3565,1
105,446,0
93,173,0
92,1975,1
173,4131,0
4,1658,1
108,1924,0
45,4818,1
33,4026,1
38,785,0
63,4133,1
51,4064,1
19,1314,0
202,1470,1
222,3177,1
167,2414,1
32,3216,1
136,3773,0
10,4454,0
172,4129,0
196,1877,0
207,1962,1
19,3409,0
42,3181,0
1,1208,1
136,3885,1
245,4795,1
18,3408,0
231,1702,1
250,2761,1
248,3828,1
245,975,1
176,1274,0
15,2447,1
33,2406,1
224,1505,1
78,4710,1
141,36,0
42,693,0
246,3123,0
136,4360,1
1,1444,0
51,4023,0
33,3741,0
57,96,0
214,796,0
143,1540,0
165,3978,0
83,699,1
124,3153,1
128,546,1
131,706,0
31,3254,1
185,4703,0
34,3686,1
199,4125,0
66,164,1
103,2351,1
172,343,1
61,4989,1
238,2110,0
36,4240,0
116,3197,1
129,4807,0
108,2218,1
206,83,1
231,2360,1
147,1846,1
225,1176,1
112,4617,0
147,3855,0
57,3863,1
207,910,0
176,3435,0
31,1089,0
222,1085,1
84,830,0
1,4164,0
174,1711,0
176,4133,1
91,1770,1
53,4058,1
98,1382,0
99,3757,1
93,2542,1
120,4228,1
160,2913,1
43,3106,0
35,2702,1
215,3661,0
159,463,0
184,1199,1
105,4225,0
215,238,1
12,2191,1
5,4178,0
67,318,1
151,3328,0
100,230,1
119,2828,1
57,1459,1
100,2644,0
155,360,0
183,3674,1
60,393,1
113,1010,1
120,4394,1
87,2525,0
182,1808,1
219,1242,0
162,3887,1
212,392,1
38,3051,1
226,411,0
90,1771,0
109,4578,0
46,3396,1
58,154,1
82,2200,1
81,1860,1
242,1533,0
184,4985,1
70,2994,0
54,2999,0
22,2707,0
225,1871,0
197,4116,0
183,1194,0
124,953,1
188,3848,0
124,2090,1
77,2484,0
186,3237,1
19,3337,1
190,474,1
16,2994,0
128,2248,1
22,4339,0
27,1043,1
148,4195,0
181,2967,0
250,2053,1
13,2383,0
79,1010,0
176,462,0
86,982,1
155,1639,0
76,2793,0
118,4872,1
132,4141,1
203,692,1
135,4030,1
183,707,1
23,86,0
19,2879,0
64,4988,0
138,381,0
187,44,0
43,1895,0
209,594,1
104,4432,0
43,4054,1
220,1847,0
215,137,1
136,1213,0
158,2142,1
24,1256,0
46,2100,0
39,623,1
212,3235,0
155,3878,0
242,691,0
104,4665,1
156,3902,0
168,2329,0
218,2880,1
90,341,0
29,64,0
165,631,0
213,3357,1
52,3003,1
238,1572,1
195,4431,0
32,444,0
98,4410,0
101,2187,1
216,3379,1
46,3731,1
149,1930,1
36,4412,1
64,3396,1
237,2116,1
53,4701,0
48,3356,0
19,3270,1
144,3852,1
117,4648,1
12,891,0
103,2369,1
31,303,0
71,3891,1
71,3411,0
140,2759,1
9,407,0
18,1406,0
32,4544,0
8,2013,0
232,4269,1
23,3887,1
178,2699,0
